makam,num_usuls,shapeh_mean,shapeh_best,avg_rank,best_rank
Segâh Fantezi,2,50.72344302450102,52.855412767537544,1263.5416666666665,1108.4880952380952
Rast Zeybek,2,54.90062848706766,54.929573332524676,1269.0238095238096,1267.1904761904761
Beyâtî Kanto,1,49.501805133191525,49.501805133191525,1269.9285714285713,1269.9285714285713
Sûzinâk Peşrev,2,52.95418432183624,56.14061604458668,1271.6904761904761,1165.1666666666667
Sabâ Şarkı,13,50.36892999596133,59.757553687526205,1274.0353654282226,727.4795918367347
Nikrîz Peşrev,1,51.73755521257663,51.73755521257663,1275.5238095238096,1275.5238095238096
Uşşak Şarkı,22,49.56244670187624,67.97132351379948,1280.7248617123616,340.9047619047619
Kürdîlihicazkâr Şarkı,18,50.53749296726045,57.74740950175938,1283.54166633515,772.1964285714286
Hicazeyn Peşrev,1,49.729018067646415,49.729018067646415,1288.6904761904761,1288.6904761904761
Sazkâr Ağırsemâî,1,47.89356558823007,47.89356558823007,1291.7857142857142,1291.7857142857142
Hicaz-Hümâyûn Şarkı,11,50.081531310319974,64.53009853813619,1295.7373737373737,587.2063492063492
Beyâtî-Arabân Sazsemâîsi,1,51.39335889190685,51.39335889190685,1297.8095238095239,1297.8095238095239
Hicazkâr Koşma,1,54.91167985500455,54.91167985500455,1303.952380952381,1303.952380952381
Sûzidil Şarkı,10,50.533398731486905,63.46635087986352,1310.044642857143,560.5595238095239
Sûzidilârâ Yürüksemâî,1,53.91695174749966,53.91695174749966,1310.7857142857142,1310.7857142857142
Ferahnâk Türkü,1,46.37025801697835,46.37025801697835,1314.1904761904761,1314.1904761904761
Segâh Yürüksemâî,1,47.90398017953879,47.90398017953879,1315.952380952381,1315.952380952381
Hicazkâr Sirto,1,55.91522988301065,55.91522988301065,1319.6190476190477,1319.6190476190477
Zâvil Ağırsemâî,1,54.400583749218896,54.400583749218896,1321.3333333333333,1321.3333333333333
Hicaz-Hümâyûn Fantezi,1,51.833400185721366,51.833400185721366,1324.8095238095239,1324.8095238095239
Sûzidilârâ Şarkı,1,51.19400544370409,51.19400544370409,1325.2380952380952,1325.2380952380952
Sultânîyegâh Peşrev,1,55.2221455844896,55.2221455844896,1337.2857142857142,1337.2857142857142
Bûselik İlâhî,1,49.91556989405298,49.91556989405298,1342.2619047619048,1342.2619047619048
Karcığar Sazeseri,1,48.23283764203922,48.23283764203922,1350.1904761904761,1350.1904761904761
Hicaz Fantezi,3,45.539583111876986,62.23837338269617,1359.9960317460318,336.3095238095238
Nikrîz Longa,1,45.89530849884128,45.89530849884128,1362.9444444444443,1362.9444444444443
Rengidil Sazsemâîsi,1,53.07425241494496,53.07425241494496,1363.452380952381,1363.452380952381
Nihâvent Şarkı,17,48.990227085942266,63.63959531614051,1364.4347634131125,489.1904761904762
Bûselik Fantezi,2,47.373088525382784,53.85797686697073,1368.4404761904761,886.9047619047619
Acemaşîrân Sazsemâîsi,1,49.7767737709081,49.7767737709081,1369.873015873016,1369.873015873016
Rengidil Şarkı,4,52.99879260381262,54.6727792677957,1374.7857142857142,1309.6904761904761
Rast Şarkı,21,47.67519082809247,66.49413745936364,1378.3316026314326,323.7857142857143
Rast Murabbâ,1,49.553380309092,49.553380309092,1384.952380952381,1384.952380952381
Gerdâniye Şarkı,2,47.309378530228315,51.01742345876408,1386.952380952381,1002.9285714285714
Nikrîz Sirto,1,53.171101912208904,53.171101912208904,1388.2142857142858,1388.2142857142858
Rast Sazsemâîsi,1,51.99222339849859,51.99222339849859,1388.4166666666667,1388.4166666666667
Ruhnevaz Ağırsemâî,1,54.461671517958884,54.461671517958884,1394,1394
Nişâburek Ağırsemâî,1,49.78510282887689,49.78510282887689,1395.2142857142858,1395.2142857142858
Eviç Türkü,4,48.689736432000835,58.21135833605859,1397.0523809523809,894.3809523809524
Hicaz-Uzzâl Yürüksemâî,1,50.90689197244251,50.90689197244251,1405.702380952381,1405.702380952381
Peyk-i-Neşat Peşrev,1,48.772242240628785,48.772242240628785,1408.2619047619048,1408.2619047619048
Muhayyerkürdî Şarkı,10,47.12957429740713,62.06354419546585,1408.375238095238,381.4047619047619
Nikrîz Zeybek,3,49.091245510754106,52.248085854339884,1414.9960317460318,1201.3333333333333
Kürdî Şarkı,3,44.79403116711919,65.04619262591358,1418.404761904762,266.6190476190476
Nişâburek Şarkı,12,46.945716066023216,61.03754531530273,1421.457671957672,539.6428571428571
Mâhur Kâr,1,53.41699222863877,53.41699222863877,1421.5714285714287,1421.5714285714287
Nihâvent Tango,1,47.0999380962488,47.0999380962488,1434.047619047619,1434.047619047619
Hicaz-Zirgüle Sazsemâîsi,1,47.66234390170882,47.66234390170882,1434.2619047619048,1434.2619047619048
Hicaz-Uzzâl Şarkı,18,47.644591499899825,64.08683270479874,1448.6113637905305,622.6904761904761
Hicazkâr Zeybek,1,47.51292101317417,47.51292101317417,1452.2380952380952,1452.2380952380952
Sipihr (Eski) Peşrev,1,45.319709030322855,45.319709030322855,1452.404761904762,1452.404761904762
Şehnâz Longa,1,51.017320280192514,51.017320280192514,1452.5238095238096,1452.5238095238096
Şedarabân Şarkı,5,47.40399043295176,60.34941511452782,1456.2809523809524,785.2857142857143
Aşkefzâ Şarkı,2,46.53337256544187,54.69900879887317,1469.1964285714284,1028.9166666666667
Rehâvî Nakış,1,47.139781390316614,47.139781390316614,1471.3809523809523,1471.3809523809523
Güldeste Sazsemâîsi,1,50.37837641021732,50.37837641021732,1474.1190476190477,1474.1190476190477
Nevâ Şarkı,5,44.39282031807894,58.06723912118984,1478.7809523809524,617.547619047619
Bûselik Türkü,3,46.28128166033786,59.31201357764873,1485.515873015873,822.547619047619
Selmek Sazsemâîsi,1,46.645485940885074,46.645485940885074,1488.2619047619048,1488.2619047619048
Hicazkâr Köçekçe,6,47.85995837096249,56.98602223745816,1489.0218253968255,873.547619047619
Rast Gazel,1,46.127072466428416,46.127072466428416,1489.357142857143,1489.357142857143
Uşşak Tevşihilâhi,1,43.9591830048001,43.9591830048001,1492.7380952380952,1492.7380952380952
Hicaz-Zirgüle Şarkı,5,45.85649959934917,54.720155699924085,1493.023015873016,960.6428571428571
Şehnâz Peşrev,1,53.36960560414985,53.36960560414985,1495.2619047619048,1495.2619047619048
Pençgâh Tevşihilâhi,1,46.17880320725938,46.17880320725938,1496.7857142857142,1496.7857142857142
Sabâ İlâhî,1,40.22535630525197,40.22535630525197,1512.2142857142858,1512.2142857142858
Nikrîz Şarkı,7,45.9959995445199,54.918665200323396,1513.6496598639455,989.2142857142857
Hicaz Kalenderî,1,48.89986409394521,48.89986409394521,1525.1666666666667,1525.1666666666667
Nihâvent Longa,1,44.62047712729145,44.62047712729145,1532.5,1532.5
Ferahfezâ Şarkı,4,43.456378524224846,56.7197339973664,1534.875,676.3809523809524
Nihâvent Sazsemâîsi,2,47.85184364934757,57.18564456499351,1549.9166666666667,1136.0238095238096
Nihâvent Fantezi,4,45.78909205879947,51.66166197682404,1550.8895833333333,1241.8857142857144
Reyyâ Şarkı,1,47.37953967907999,47.37953967907999,1553.547619047619,1553.547619047619
Hicaz-Hümâyûn Türkü,4,44.95120512007716,54.863585438064206,1556.8392857142858,996.3690476190476
Sabâ Türkü,6,42.02667456074313,56.189232162843254,1558.0337301587301,709.547619047619
Şehnâz Fantezi,1,48.260144298725855,48.260144298725855,1558.0714285714287,1558.0714285714287
Acemkürdî Şarkı,11,43.37920280696917,60.50221250539204,1559.3847763347762,393.35714285714283
Muhayyerkürdî Fantezi,2,45.95770877566649,58.66148252005075,1560.392857142857,883.0714285714286
Segâh-Mâye Türkü,1,43.821427893068424,43.821427893068424,1562.1190476190477,1562.1190476190477
Hicaz-Uzzâl Türkü,4,46.06281127613233,54.052507344435156,1567.3125,970.8571428571429
Ferahfezâ Yürüksemâî,2,40.2898103172873,59.86652588320273,1573.642857142857,571.9285714285714
Rast Fantezi,1,45.70647646670437,45.70647646670437,1576.5714285714287,1576.5714285714287
