makam,usul,count,shapeh_mean,shapeh_max,shapeh_median,time_mean,time_max,avg_rank,best_rank,top_k_count
Şehnâz Şarkı,Devr-i Hindî,42,66.0799442971385,125.68640033163673,62.16952646326845,,,346.7142857142857,54,0
Segâh Türkü,Âzerî Yürüksemâî,42,61.46843312315694,76.1826316681695,65.27012256881665,0.0,0.0,348.6666666666667,5,3
Hüseynî Beste,Berefşan,42,67.09539182859628,144.14619365702126,61.089243817069786,,,349.35714285714283,34,0
Bestenigâr Şarkı,K. Curcuna (10/16),42,66.22137155865371,126.58498475012578,62.30431832848261,,,353.5238095238095,28,0
Hicaz-Hümâyûn Beste,Ağırçenber,42,68.70597347964743,159.2290864463452,61.054652030776026,0.0,0.0,353.8095238095238,8,1
Muhayyer Yürüksemâî,Yürüksemâî(6/4),42,66.30844226609443,120.12894441809024,60.828130141757484,,,357.1666666666667,61,0
Şeddisabâ Sazsemâîsi,Aksaksemâî,42,61.23320073428403,84.43626677949148,62.51619791644396,,,362.1904761904762,16,0
Rast Ağırsemâî,Aksaksemâî,84,63.21753937524249,92.50521458802544,62.859889910295585,0.0,0.0,364.0238095238095,4,1
Pençgâh Murabbâ,Fer'i Muhammes (16/2),42,65.62788870322167,114.31879644943619,62.40661108048307,0.0,0.0,365.04761904761904,7,1
Rast Peşrev,Devr-i Kebîr,42,67.66537864738112,148.69579029392895,62.6579159739761,,,366.5952380952381,36,0
Beyâtî Şarkı,Sofyan,42,63.1997567163246,106.64378758157365,61.71133291451369,,,368.6190476190476,59,0
Hisarbûselik Türkü,Âzerî Yürüksemâî,42,62.76823918678727,93.60741723684522,62.78521146824724,0.0,0.0,370.3333333333333,3,1
Hicaz Ağırsemâî,Aksaksemâî,42,67.68256758009886,152.60324399941342,61.215011474800214,,,370.8333333333333,26,0
Muhayyer Şarkı,Devr-i Hindî (7/8),42,66.11964784902521,125.51694936984757,58.28726567830947,,,373.8809523809524,31,0
Şevk`efzâ Şarkı,Devr-i Hindî (7/8),42,63.54893728784705,98.63148155270923,62.32251418501841,,,375.0952380952381,59,0
Şehnâz Yürüksemâî,Yürüksemâî(6/4),42,61.83369734136423,82.581590032665,65.67512283235953,0.0,0.0,378.3333333333333,3,1
Muhayyerkürdî Şarkı,Yürüksemâî II,42,62.06354419546585,81.38897863593036,66.98901595930316,0.0,0.0,381.4047619047619,7,3
Sabâ Peşrev,Nîmçember,42,66.78360684134299,147.15702455792487,60.097237714270946,,,381.5952380952381,30,0
