raga,makam,usul,metric,agg,value
Bhairav,Acemaşîrân Şarkı,Raksaksağı,shapeh_score,median,21.368989619258862
Bhairav,Acemaşîrân Şarkı,Raksaksağı,shapeh_score,max,45.91205715889353
Bhairav,Acemaşîrân Şarkı,Raksaksağı,shapeh_score,top_5_mean,36.71044684054798
Bhairav,Acemaşîrân Şarkı,Semâî,shapeh_score,mean,17.905320291227227
Bhairav,Acemaşîrân Şarkı,Semâî,shapeh_score,median,16.32899128598963
Bhairav,Acemaşîrân Şarkı,Semâî,shapeh_score,max,51.07474504005134
Bhairav,Acemaşîrân Şarkı,Semâî,shapeh_score,top_5_mean,42.9550700667974
Bhairav,Acemaşîrân Şarkı,Yürüksemâî II,shapeh_score,mean,21.3694183428436
Bhairav,Acemaşîrân Şarkı,Yürüksemâî II,shapeh_score,median,19.631489387768475
Bhairav,Acemaşîrân Şarkı,Yürüksemâî II,shapeh_score,max,49.925420208469504
Bhairav,Acemaşîrân Şarkı,Yürüksemâî II,shapeh_score,top_5_mean,45.730373390429506
Bhairav,Acemaşîrân Şarkı,Senginsemâî,shapeh_score,mean,22.35972303371049
Bhairav,Acemaşîrân Şarkı,Senginsemâî,shapeh_score,median,21.36442462886749
Bhairav,Acemaşîrân Şarkı,Senginsemâî,shapeh_score,max,54.07214166356817
Bhairav,Acemaşîrân Şarkı,Senginsemâî,shapeh_score,top_5_mean,45.888394852793425
Bhairav,Acemaşîrân Şarkı,Sofyan,shapeh_score,mean,21.788345720867163
Bhairav,Acemaşîrân Şarkı,Sofyan,shapeh_score,median,20.312317923908747
Bhairav,Acemaşîrân Şarkı,Sofyan,shapeh_score,max,49.38070196432052
Bhairav,Acemaşîrân Şarkı,Sofyan,shapeh_score,top_5_mean,41.17042307895031
Bhairav,Acemaşîrân Şarkı,Sofyan (4/2),shapeh_score,mean,23.540604498897764
Bhairav,Acemaşîrân Şarkı,Sofyan (4/2),shapeh_score,median,22.588417930604173
Bhairav,Acemaşîrân Şarkı,Sofyan (4/2),shapeh_score,max,53.344164946514965
Bhairav,Acemaşîrân Şarkı,Sofyan (4/2),shapeh_score,top_5_mean,43.92103984056363
Bhairav,Acemaşîrân Sazsemâîsi,Aksaksemâî,shapeh_score,mean,22.587260128193325
Bhairav,Acemaşîrân Sazsemâîsi,Aksaksemâî,shapeh_score,median,21.50407957286106
Bhairav,Acemaşîrân Sazsemâîsi,Aksaksemâî,shapeh_score,max,48.460205022130424
Bhairav,Acemaşîrân Sazsemâîsi,Aksaksemâî,shapeh_score,top_5_mean,45.902615627666556
Bhairav,Acemaşîrân Selam,Ağırdüyek,shapeh_score,mean,24.413263724089774
Bhairav,Acemaşîrân Selam,Ağırdüyek,shapeh_score,median,24.539641125798283
Bhairav,Acemaşîrân Selam,Ağırdüyek,shapeh_score,max,57.92527419145741
Bhairav,Acemaşîrân Selam,Ağırdüyek,shapeh_score,top_5_mean,44.7010306664216
Bhairav,Acemaşîrân Selam,Mevlevî Evferi,shapeh_score,mean,27.590716180713223
Bhairav,Acemaşîrân Selam,Mevlevî Evferi,shapeh_score,median,26.47703935906366
Bhairav,Acemaşîrân Selam,Mevlevî Evferi,shapeh_score,max,65.29247848563965
Bhairav,Acemaşîrân Selam,Mevlevî Evferi,shapeh_score,top_5_mean,50.71765737428642
Bhairav,Acemaşîrân Seyir,Semâî,shapeh_score,mean,12.387085061540489
Bhairav,Acemaşîrân Seyir,Semâî,shapeh_score,median,11.926867201445072
Bhairav,Acemaşîrân Seyir,Semâî,shapeh_score,max,18.851591158064487
Bhairav,Acemaşîrân Seyir,Semâî,shapeh_score,top_5_mean,16.881729354262912
Bhairav,Acemaşîrân Seyir,Sofyan,shapeh_score,mean,18.894558156252515
Bhairav,Acemaşîrân Seyir,Sofyan,shapeh_score,median,18.42518551283311
Bhairav,Acemaşîrân Seyir,Sofyan,shapeh_score,max,29.604709867758448
Bhairav,Acemaşîrân Seyir,Sofyan,shapeh_score,top_5_mean,27.624447806397114
Bhairav,Acemaşîrân Yürüksemâî,Yürüksemâî(6/4),shapeh_score,mean,28.47251934394708
Bhairav,Acemaşîrân Yürüksemâî,Yürüksemâî(6/4),shapeh_score,median,26.26165749964742
Bhairav,Acemaşîrân Yürüksemâî,Yürüksemâî(6/4),shapeh_score,max,58.48557992971235
Bhairav,Acemaşîrân Yürüksemâî,Yürüksemâî(6/4),shapeh_score,top_5_mean,49.296868825439105
Bhairav,Acemaşîrân Yürüksemâî,Yürüksemâî II,shapeh_score,mean,21.147438430849974
Bhairav,Acemaşîrân Yürüksemâî,Yürüksemâî II,shapeh_score,median,21.389183772025426
Bhairav,Acemaşîrân Yürüksemâî,Yürüksemâî II,shapeh_score,max,28.86399548130769
Bhairav,Acemaşîrân Yürüksemâî,Yürüksemâî II,shapeh_score,top_5_mean,27.125584744712405
Bhairav,Acemaşîrân Zeybek,Ağıraksak,shapeh_score,mean,15.220619952619261
Bhairav,Acemaşîrân Zeybek,Ağıraksak,shapeh_score,median,13.878168034952914
Bhairav,Acemaşîrân Zeybek,Ağıraksak,shapeh_score,max,26.447364784685455
Bhairav,Acemaşîrân Zeybek,Ağıraksak,shapeh_score,top_5_mean,24.540604268255326
Bhairav,Acembûselik Küpe,Aksak (9/4),shapeh_score,mean,19.233801710457865
Bhairav,Acembûselik Küpe,Aksak (9/4),shapeh_score,median,19.505678637212547
Bhairav,Acembûselik Küpe,Aksak (9/4),shapeh_score,max,30.140065216183537
Bhairav,Acembûselik Küpe,Aksak (9/4),shapeh_score,top_5_mean,28.550660210577902
Bhairav,Acembûselik Şarkı,Aksak,shapeh_score,mean,26.444411984913533
Bhairav,Acembûselik Şarkı,Aksak,shapeh_score,median,24.835485481635335
Bhairav,Acembûselik Şarkı,Aksak,shapeh_score,max,50.0082004578523
Bhairav,Acembûselik Şarkı,Aksak,shapeh_score,top_5_mean,45.163198727016514
Bhairav,Acemkürdî Ağırsemâî,Ağır Aksaksemâî,shapeh_score,mean,27.366933306280327
Bhairav,Acemkürdî Ağırsemâî,Ağır Aksaksemâî,shapeh_score,median,25.09541748756718
Bhairav,Acemkürdî Ağırsemâî,Ağır Aksaksemâî,shapeh_score,max,58.25925854698105
Bhairav,Acemkürdî Ağırsemâî,Ağır Aksaksemâî,shapeh_score,top_5_mean,47.35717228440405
Bhairav,Acemkürdî Aranağme,Aksak,shapeh_score,mean,9.404370694490828
Bhairav,Acemkürdî Aranağme,Aksak,shapeh_score,median,9.429689959585339
Bhairav,Acemkürdî Aranağme,Aksak,shapeh_score,max,12.550459917974054
Bhairav,Acemkürdî Aranağme,Aksak,shapeh_score,top_5_mean,11.809157902084554
Bhairav,Acemkürdî Aranağme,Curcuna,shapeh_score,mean,14.413596697146064
Bhairav,Acemkürdî Aranağme,Curcuna,shapeh_score,median,14.365561780866212
Bhairav,Acemkürdî Aranağme,Curcuna,shapeh_score,max,19.005417587286118
Bhairav,Acemkürdî Aranağme,Curcuna,shapeh_score,top_5_mean,18.276591692273065
Bhairav,Acemkürdî Aranağme,Düyek,shapeh_score,mean,6.930923591349633
Bhairav,Acemkürdî Aranağme,Düyek,shapeh_score,median,7.051500200150148
Bhairav,Acemkürdî Aranağme,Düyek,shapeh_score,max,10.23262290714885
Bhairav,Acemkürdî Aranağme,Düyek,shapeh_score,top_5_mean,9.108157863621535
Bhairav,Acemkürdî Aranağme,Senginsemâî,shapeh_score,mean,13.925780061544899
Bhairav,Acemkürdî Aranağme,Senginsemâî,shapeh_score,median,14.189028637853589
Bhairav,Acemkürdî Aranağme,Senginsemâî,shapeh_score,max,19.597131228693982
Bhairav,Acemkürdî Aranağme,Senginsemâî,shapeh_score,top_5_mean,17.9770097995222
